,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.3775732072335938,0.07821358047976834,3.9164018747331975
S Learner (XGB),0.14755536592579688,0.11640776421474397,0.3717023890804012
S Learner (SVR),0.3499036891720402,0.06537267824449267,0.32830216102004006
S Learner (Bagging_SVR),0.3523852000353329,0.06382266201970117,0.36013180817173607
S Learner (Adaboost_SVR),0.31347272550608873,0.06756678796352478,0.23517420628260174
S Learner (Adaboost_MLP),0.3157643579904683,0.16895670426889303,0.45175870289808684
T Learner (LR),0.35025739060469263,0.08197141897356128,0.3503420609462541
T Learner (XGB),0.2538933028973498,0.9763309702992773,1.265411783906166
T Learner (SVR),0.42679588558917536,0.32111575271186016,0.8191720048479402
T Learner (Bagging_SVR),0.4328739638674386,0.2557083975372474,0.6873327305514498
T Learner (Adaboost_SVR),0.3688533031771588,0.47174924256241535,0.8681756763575416
T Learner (Adaboost_MLP),0.28562897712336177,1.179058736517906,1.36206541244681
X Learner (LR),0.3502573906046942,0.08197141897356147,0.3503420609462541
X Learner (XGB),0.07949218320808593,0.308960619163753,0.6797470025496369
X Learner (SVR),0.37272786238126,0.1409950379797117,0.4238078263543242
X Learner (Bagging_SVR),0.36891627415997785,0.12129101638071402,0.40263577938029926
X Learner (Adaboost_SVR),0.32302439444300246,0.1693571474117461,0.48107542785294366
X Learner (Adaboost_MLP),0.2859571015763258,0.5113729548692852,1.0008129748079462
