,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.7128513052810022,0.17656806260559335,4.366088312223136
S Learner (XGB),0.2769520724985284,0.6138053909793282,1.3893616497431334
S Learner (SVR),0.3061634915392357,0.23295678124910446,0.8483317595526652
S Learner (Bagging_SVR),0.4035941232721838,0.21989323087480708,0.979039335068259
S Learner (Adaboost_SVR),0.5924728129613215,0.3940204273447285,1.1650066448793301
S Learner (Adaboost_MLP),0.8100124930260983,0.2343129276236368,1.9073996847291586
T Learner (LR),0.5764675104605801,0.4693873691030014,1.0746718903748513
T Learner (XGB),0.626181549990775,1.2915769144226257,1.618054872121141
T Learner (SVR),0.502248461119438,0.4598602816924261,1.230768512204825
T Learner (Bagging_SVR),0.640471622659051,0.44315390099458957,1.216096285906359
T Learner (Adaboost_SVR),0.8538344286670303,0.8338186760702573,1.6525844907800562
T Learner (Adaboost_MLP),0.7352764723303855,0.5419484299925842,1.3871021859001236
X Learner (LR),0.5764675104605794,0.46938736910300116,1.0746718903748513
X Learner (XGB),0.4407766800954669,0.5790079797561412,1.2024597067603493
X Learner (SVR),0.43648529027177263,0.24076588970857432,1.0042916343892276
X Learner (Bagging_SVR),0.5037268139930482,0.23345203471744141,1.0126970477125914
X Learner (Adaboost_SVR),0.70859422344579,0.42807813004596335,1.2241096462101064
X Learner (Adaboost_MLP),0.6818229271840912,0.4681985774776276,1.3223930198439378
