,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.41503484323114237,0.07545607017287145,3.119073837333312
S Learner (XGB),0.8521903380093585,0.7917164594608532,1.420547250327386
S Learner (SVR),0.20626227822092835,0.04837490297851454,1.0488887285054702
S Learner (Bagging_SVR),0.3131133593515938,0.0608996750587356,1.3395459580640414
S Learner (Adaboost_SVR),0.09945144712185494,0.04937480044839307,0.6295205730310155
S Learner (Adaboost_MLP),0.05195441092076525,0.05943857325896603,0.7345381777088269
T Learner (LR),0.7288336374590754,3.478711378836281,2.2415716922025584
T Learner (XGB),1.1918011485093096,1.3786929584528804,1.8687211278316924
T Learner (SVR),0.7144435077952449,0.4615660166890406,1.2453306069461942
T Learner (Bagging_SVR),0.8024062688732414,0.3464767767922222,1.2845886276100353
T Learner (Adaboost_SVR),0.9085239730009522,0.730196730774413,1.4169964535920607
T Learner (Adaboost_MLP),0.6008701953713487,0.852269326038533,1.4926704743964072
X Learner (LR),0.7657280383949749,3.2464937909857747,2.186707001820146
X Learner (XGB),1.0293372498401792,0.591683002435159,1.7085267628361287
X Learner (SVR),0.6754115229251845,0.18961938492134886,1.351817427627636
X Learner (Bagging_SVR),0.7509473995443108,0.19356418627752972,1.8047934641543766
X Learner (Adaboost_SVR),0.7619709035286581,0.27753734122903595,1.831048933169346
X Learner (Adaboost_MLP),0.4662443776814338,0.3663539412220991,1.3262395045390243
