,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.23589985820060955,0.056618581439558474,3.416459207348747
S Learner (XGB),0.05629389617967817,0.4284608023107282,1.0732989671242852
S Learner (SVR),0.07559670483774306,0.16746235581435692,0.6376971891552516
S Learner (Bagging_SVR),0.033939466747290536,0.15216198017454982,0.6865402846768345
S Learner (Adaboost_SVR),0.21331208865039164,0.2845871309695201,0.9585506780759679
S Learner (Adaboost_MLP),0.3147770873414,0.0857435304284783,0.41282036141351214
T Learner (LR),0.21052812784158514,0.1325062802525334,0.5625622878958084
T Learner (XGB),0.10526005136035832,1.256566047259158,1.600039904160059
T Learner (SVR),0.15364535092183185,0.2690249006449344,0.7034611822481344
T Learner (Bagging_SVR),0.16238806715678633,0.2721799997271679,0.8355148667084893
T Learner (Adaboost_SVR),0.1933309094195561,0.3317425385650308,0.9697056343644254
T Learner (Adaboost_MLP),0.4558971526729447,0.09773191484130866,0.6086037321134184
X Learner (LR),0.21052812784158537,0.13250628025253341,0.5625622878958084
X Learner (XGB),0.0025590601552061276,0.596291146586685,1.3560378105238786
X Learner (SVR),0.09461350715357719,0.19806491492313433,0.6861367965810645
X Learner (Bagging_SVR),0.14541021577953717,0.21089602850452194,0.7833517150954803
X Learner (Adaboost_SVR),0.2368878664368821,0.22346392878414423,0.7731843350246952
X Learner (Adaboost_MLP),0.33263596899881676,0.07375889579431125,0.39892024649390484
