,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.31526485230603973,0.06586126519535213,3.681784578133
S Learner (XGB),0.02667873505042251,0.03724902975169072,0.091860257805092
S Learner (SVR),8.727463953817072e-05,0.044690629780622056,0.08141502976114227
S Learner (Bagging_SVR),0.0013936016380678984,0.04443700399096234,0.08277667621821919
S Learner (Adaboost_SVR),0.013199594473520038,0.06588947902523173,0.15657241630893096
S Learner (Adaboost_MLP),0.01763718227939015,0.04398223643693233,0.10344290646248379
T Learner (LR),0.29927485119128305,0.023957967001092463,0.22131855538954742
T Learner (XGB),0.005019027120672814,0.228564311110779,0.48315067132230616
T Learner (SVR),0.0004088823981974743,0.08052253018601407,0.16634542385836626
T Learner (Bagging_SVR),0.011178227078283531,0.0793054100229126,0.1672113008214754
T Learner (Adaboost_SVR),0.00924380126690072,0.11837964741949077,0.2944869918125288
T Learner (Adaboost_MLP),0.10405690319040484,0.0691801948890222,0.21473067218116548
X Learner (LR),0.2992748511912786,0.023957967001091773,0.22131855538954742
X Learner (XGB),0.02658730210700866,0.09078887792263814,0.16708998378506645
X Learner (SVR),0.011156832535841654,0.06277341746466458,0.11018635626641393
X Learner (Bagging_SVR),0.02442651837713128,0.06225180508322977,0.11159514013653092
X Learner (Adaboost_SVR),0.004398921654833687,0.08550885990936545,0.19625275193722333
X Learner (Adaboost_MLP),0.0692834157607225,0.04987538736279877,0.11875880772469288
