,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.37021878816965503,0.07533180665713499,3.7717286591707064
S Learner (XGB),0.10111911182971411,0.0952617137851442,0.2682759593310483
S Learner (SVR),0.06847643992495134,0.07492828985225435,0.18581044724516355
S Learner (Bagging_SVR),0.08209040372888277,0.07191760386025116,0.18544878696410122
S Learner (Adaboost_SVR),0.07821182741654642,0.12071493705785799,0.32426633196687676
S Learner (Adaboost_MLP),0.10396529772125884,0.08909067933294176,0.3455145070578639
T Learner (LR),0.3492206548120582,0.03646030495742336,0.3060519085630825
T Learner (XGB),0.03482311409722327,0.731164735810961,1.1045410246346825
T Learner (SVR),0.08315577477493541,0.1439100123483583,0.3363754519895474
T Learner (Bagging_SVR),0.08067385575557351,0.13425035932004473,0.35780867190525784
T Learner (Adaboost_SVR),0.11034304263944117,0.196807585079625,0.5169946492564198
T Learner (Adaboost_MLP),0.15002439835913428,0.1433023339659745,0.42976873283182077
X Learner (LR),0.34922065481205533,0.03646030495742285,0.3060519085630825
X Learner (XGB),0.008435211585974711,0.2884676965234022,0.640759888286548
X Learner (SVR),0.06667876843145604,0.1020270582515181,0.2432393049171576
X Learner (Bagging_SVR),0.06286664844312084,0.09365028572157494,0.24108317990496966
X Learner (Adaboost_SVR),0.08622007833501022,0.13240145145706048,0.34485448670169633
X Learner (Adaboost_MLP),0.15043659885985972,0.1132016259714374,0.3561002733694131
