,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.358753292824435,0.07399233915728316,3.7866693369992586
S Learner (XGB),0.09892056664173299,0.03981687320063607,0.16315118444941623
S Learner (SVR),0.34173334826318214,0.04808320500159048,0.3477295784961232
S Learner (Bagging_SVR),0.343659218255318,0.048215148839521216,0.3857790814822855
S Learner (Adaboost_SVR),0.30930932701920755,0.04590800389348358,0.24508579077002843
S Learner (Adaboost_MLP),0.2534422513558221,0.11316254939406413,0.36864087146678265
T Learner (LR),0.33901357318464864,0.05139165210061806,0.3047447322585335
T Learner (XGB),0.10549474385260393,0.3765242940643681,0.800420692947874
T Learner (SVR),0.38123196411778637,0.29448293759575006,0.8077574039463847
T Learner (Bagging_SVR),0.37149871785857225,0.2248427197954069,0.6506833151004308
T Learner (Adaboost_SVR),0.35638864882903976,0.4391734344534694,0.8749078663215607
T Learner (Adaboost_MLP),0.2916816222537617,1.1572246434414886,1.3619945830236053
X Learner (LR),0.3390135731846473,0.051391652100617795,0.3047447322585335
X Learner (XGB),0.02116354526285491,0.12721269774602592,0.3037624154018421
X Learner (SVR),0.3460923582794504,0.11824303212761209,0.44831827776842165
X Learner (Bagging_SVR),0.33428281930026316,0.09368278955593577,0.37782527122630694
X Learner (Adaboost_SVR),0.3202708731083246,0.15538237270598723,0.510739824093465
X Learner (Adaboost_MLP),0.3486791119227979,0.5750384723539679,1.0632590782613518
