,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.7329001093069027,0.17671524536885377,6.016507672625715
S Learner (XGB),0.3848100407233568,0.681019691232176,1.2362386049298244
S Learner (SVR),0.04264886351665309,0.04341856319376324,0.6041611784702857
S Learner (Bagging_SVR),0.013856808534722154,0.04244932224264326,0.6043458380970369
S Learner (Adaboost_SVR),0.27694502701009216,0.0811068319963778,0.416221003306499
S Learner (Adaboost_MLP),0.7235654164109189,0.1986304018312167,1.1811702833774487
T Learner (LR),0.5239701472543739,1.6932661272797467,1.5249595821147985
T Learner (XGB),0.6767770789270573,1.459838440266782,1.5018608140286585
T Learner (SVR),0.744897307170028,0.5269845924442077,1.1306129056632905
T Learner (Bagging_SVR),0.7662697497569282,0.41837976759064444,1.033658312616095
T Learner (Adaboost_SVR),0.9411230126051859,0.8233912944882974,1.359236571419011
T Learner (Adaboost_MLP),0.945551515837614,1.0275244491182405,1.3367642731406684
X Learner (LR),0.5239701472543732,1.693266127279747,1.5249595821147985
X Learner (XGB),0.4048230933492045,0.40859251368354366,1.030785638916952
X Learner (SVR),0.6207101494318792,0.20266143311938045,0.8728868159019743
X Learner (Bagging_SVR),0.6705768969461867,0.1970877857759939,1.0110518872394871
X Learner (Adaboost_SVR),0.8686708313628044,0.3323871959253127,1.5262215367216698
X Learner (Adaboost_MLP),0.9162374692625408,0.6206125571545303,1.291271015111661
