,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.4328772395670277,0.08773356283357645,3.906764521709516
S Learner (XGB),0.17488420643350122,0.12487718305303723,0.44210109218529403
S Learner (SVR),0.4120643759191167,0.07820998723941375,0.7253694963878783
S Learner (Bagging_SVR),0.39384991829131866,0.07501928618236688,0.7866915677575712
S Learner (Adaboost_SVR),0.3919091847803453,0.07874232203039341,0.548995067505118
S Learner (Adaboost_MLP),0.41738583937049367,0.14666216303982646,0.41955383791341644
T Learner (LR),0.41432519130062717,0.16612452644773618,0.5483036357851652
T Learner (XGB),0.28193701132229654,1.0786905792248103,1.3571515735231368
T Learner (SVR),0.5514400560414321,0.3958685082639422,0.9565349415045423
T Learner (Bagging_SVR),0.5527642996424302,0.312054263020921,0.8111830348701881
T Learner (Adaboost_SVR),0.5074586841821402,0.5663383880038548,0.9951413692617715
T Learner (Adaboost_MLP),0.46199315744036484,1.2233197729723433,1.3841589443923965
X Learner (LR),0.4143251913006263,0.16612452644773595,0.5483036357851652
X Learner (XGB),0.10530305428231945,0.3351990474201116,0.726948406857181
X Learner (SVR),0.46241184176021166,0.17881425588745656,0.5662185520868399
X Learner (Bagging_SVR),0.4562839396353089,0.15319805721948226,0.4991211362164597
X Learner (Adaboost_SVR),0.427604871543374,0.22141309109691013,0.5925699573379729
X Learner (Adaboost_MLP),0.4304603909301845,0.46630468179928014,0.9295062135465207
