,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.039297071675176265,0.04041417724187715,3.1181232119275015
S Learner (XGB),0.8653844286270451,0.25558516334047193,2.4827105892193115
S Learner (SVR),0.6139069089929811,0.14149160633621796,2.0370262502988545
S Learner (Bagging_SVR),0.6676448241533006,0.15949897727741116,2.5974175378457964
S Learner (Adaboost_SVR),0.5901583562521082,0.13752745609753197,1.8778173386927555
S Learner (Adaboost_MLP),0.23271443330496366,0.059474065033813694,0.9672210662407216
T Learner (LR),0.3885236669889067,2.27412491030041,1.8177544314043481
T Learner (XGB),0.180151190456189,1.5115325716119021,1.7074740872604404
T Learner (SVR),0.2801975496536331,0.4575757128308552,1.631330897118403
T Learner (Bagging_SVR),0.26057365429973656,0.3134398675670346,1.1670614157600963
T Learner (Adaboost_SVR),0.3071451607941307,0.7326592564062638,1.1843564626230005
T Learner (Adaboost_MLP),0.25064143563036256,1.3607155234021133,1.6154127752336718
X Learner (LR),0.42333924490205055,1.5695861375649502,1.8659502642465704
X Learner (XGB),0.13797218043794213,0.47939649910697646,1.0859155090921186
X Learner (SVR),0.2909080373726525,0.10295331453072687,0.7374413836629456
X Learner (Bagging_SVR),0.2502563354567413,0.08374572983408457,0.6288241134403367
X Learner (Adaboost_SVR),0.33231339610462185,0.13501704297752912,0.627044716000525
X Learner (Adaboost_MLP),0.19412123021222283,0.43463164070090415,1.3260856352106885
