,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.3702242486144327,0.07547172863977447,4.1773166792017795
S Learner (XGB),0.19630688779780692,0.4490699297948686,1.1454715253604808
S Learner (SVR),0.251008356785023,0.05810675462204226,0.4899342544055769
S Learner (Bagging_SVR),0.17424080772534345,0.047642230230769626,0.5098098517450008
S Learner (Adaboost_SVR),0.23539435226778194,0.05986460784732742,0.31129387285640053
S Learner (Adaboost_MLP),0.28722267230728127,0.10692013350475768,0.30057549625635394
T Learner (LR),0.3902022910978322,0.7710761810377987,1.3598289435883744
T Learner (XGB),0.5399616297262857,1.4244644583989827,1.5435148364590858
T Learner (SVR),0.6956170099131076,0.5317137209506589,1.108481304126441
T Learner (Bagging_SVR),0.7724273022537953,0.4274419428767972,1.1069091998200862
T Learner (Adaboost_SVR),0.6950833101959419,0.7684969804014099,1.3255857183580753
T Learner (Adaboost_MLP),0.4886874539879247,1.1587693558693375,1.4211371741074446
X Learner (LR),0.390202291097832,0.7710761810377983,1.3598289435883744
X Learner (XGB),0.31351191787306165,0.4511520820773589,0.9469252192949054
X Learner (SVR),0.571955298993359,0.23057182687808683,0.792094999745994
X Learner (Bagging_SVR),0.6417443913445171,0.2087078758980269,0.9533189806001061
X Learner (Adaboost_SVR),0.5139204281834873,0.2710704154352453,0.8718662839850897
X Learner (Adaboost_MLP),0.3127320374542397,0.6182148514840107,1.1757839779124386
