,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.10470838976620178,0.04670190044904553,3.8025608705027283
S Learner (XGB),0.1273622411209021,0.25719182395438933,0.599281495226888
S Learner (SVR),0.15636395779630408,0.1415819170261354,0.3669455469512274
S Learner (Bagging_SVR),0.19939306872412765,0.10810216049121987,0.3161685244787453
S Learner (Adaboost_SVR),0.13905598428424326,0.13633019967121554,0.4087512924421984
S Learner (Adaboost_MLP),0.019827867249288422,0.03707867211163528,0.08373166664153409
T Learner (LR),0.08990078210625563,0.04544599918132584,0.15128854465442867
T Learner (XGB),0.04618826904082418,1.283121012040679,1.3987611236972017
T Learner (SVR),0.24956722515056784,0.24141327275904828,0.619664339285594
T Learner (Bagging_SVR),0.2988331053670088,0.2192040639117291,0.5333613028184663
T Learner (Adaboost_SVR),0.050652604717098315,0.2660019005015717,0.5897075383676598
T Learner (Adaboost_MLP),0.04974187955000042,0.07899254615149104,0.21539569768066386
X Learner (LR),0.08990078210625607,0.04544599918132585,0.15128854465442867
X Learner (XGB),0.18402240270827697,0.4668396136518562,0.9561906555628343
X Learner (SVR),0.1923941748581366,0.14165275953596654,0.3632681600975452
X Learner (Bagging_SVR),0.21001438522224825,0.13227590601327496,0.3329624179133027
X Learner (Adaboost_SVR),0.025582442564038965,0.1460968752438736,0.3307659217535996
X Learner (Adaboost_MLP),0.03456245017172144,0.0701519554636027,0.19701060894862818
