,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.5059048602190537,0.10382065631494078,3.8009585279726594
S Learner (XGB),0.046012234710853805,0.9103765765130893,1.2136503352444488
S Learner (SVR),0.3396183788868854,0.45827244958590974,1.0390635452023447
S Learner (Bagging_SVR),0.3898228789433933,0.5443353895914929,1.116371830439162
S Learner (Adaboost_SVR),0.012137632951508381,0.6268172844541985,1.0148629069525643
S Learner (Adaboost_MLP),0.03498564617949218,0.428709588689533,1.0496438987098073
T Learner (LR),0.5027558357941508,0.09302672256232078,0.5545570218188346
T Learner (XGB),0.19060421298962016,13.619581690541876,2.2058046269853624
T Learner (SVR),0.3158184156190078,0.795145944092827,1.1972312678505692
T Learner (Bagging_SVR),0.44140424794374633,0.8582339770140013,1.2463695567220427
T Learner (Adaboost_SVR),0.19648793380558605,1.0875643224149067,1.3542558550705206
T Learner (Adaboost_MLP),0.13529187848673785,0.4689854462196182,1.1065671892586153
X Learner (LR),0.5027558357941511,0.09302672256232082,0.5545570218188346
X Learner (XGB),0.05445480829387228,6.565167533994678,2.051442235879616
X Learner (SVR),0.21764163779599088,0.5944230303784848,1.076061451231612
X Learner (Bagging_SVR),0.31037296578070683,0.6295137295269644,1.144418711367511
X Learner (Adaboost_SVR),0.20669866558979155,0.7839980315321464,1.2290568712229104
X Learner (Adaboost_MLP),0.039793312513120016,0.39773284457325964,0.9918667060978615
