,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.4064288118189212,0.08260914574362331,3.822288327528571
S Learner (XGB),0.15172754969240265,0.107330757498796,0.3830131063641278
S Learner (SVR),0.14289962842874315,0.06632549823196723,0.2586932155115469
S Learner (Bagging_SVR),0.14846423632140326,0.07409040921361526,0.307858152859019
S Learner (Adaboost_SVR),0.10112627540573071,0.0885981088777506,0.18197824356571
S Learner (Adaboost_MLP),0.12896973973922132,0.04758363006846859,0.20451092796814271
T Learner (LR),0.384581256845137,0.042118373339797247,0.3511335759796846
T Learner (XGB),0.14279772139028135,0.6254527099504761,1.0362153796751536
T Learner (SVR),0.14695032642517503,0.10605969869108696,0.37464604265066176
T Learner (Bagging_SVR),0.11103262730160046,0.10305885559902621,0.34766114708146495
T Learner (Adaboost_SVR),0.08419721143397241,0.11951203848637815,0.30573822602624157
T Learner (Adaboost_MLP),0.06263441307634854,0.059652328123195306,0.17579888511511257
X Learner (LR),0.384581256845137,0.04211837333979726,0.3511335759796846
X Learner (XGB),0.07785383282098701,0.2909797833350277,0.6304433442073876
X Learner (SVR),0.12324694326438657,0.08687601584594078,0.2790332533745554
X Learner (Bagging_SVR),0.08501403609476221,0.08584531286549503,0.29299077725253964
X Learner (Adaboost_SVR),0.04125894642712402,0.0922544008046677,0.2113776993920973
X Learner (Adaboost_MLP),0.10436856431029828,0.06020414991715199,0.17231295253483192
