,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),2.6251920060917664,1.827281178562305,6.13073983041935
S Learner (XGB),1.3902275162823075,6.532485450805922,1.9424673140915965
S Learner (SVR),3.9129611548516285,5.145008666474482,2.456234113164391
S Learner (Bagging_SVR),3.868241618213899,5.001012354633047,2.4488036322440774
S Learner (Adaboost_SVR),1.4740448938405617,2.2566203502997797,2.026513314158475
S Learner (Adaboost_MLP),0.29906468758679083,0.34855757772282264,1.1834016362905757
T Learner (LR),3.1769162639085105,13.784997157834647,2.3086656217586574
T Learner (XGB),1.561694433229262,149.69554490486757,2.6634897292858795
T Learner (SVR),6.982689467206079,14.629013459956562,2.8389563570676595
T Learner (Bagging_SVR),6.6209319179670505,12.717620299536176,2.8226963722500926
T Learner (Adaboost_SVR),4.912210827298811,9.927595658905926,2.371287070351701
T Learner (Adaboost_MLP),1.484173408557508,4.7514172974354185,2.28137423281543
X Learner (LR),3.176916263908507,13.784997157834647,2.3086656217586574
X Learner (XGB),0.7911029299517165,69.09420113941869,2.58985089933232
X Learner (SVR),6.421660797857954,11.505571005917808,2.861061594135935
X Learner (Bagging_SVR),6.217513553926121,10.568669276637948,2.893965477863198
X Learner (Adaboost_SVR),4.292554558623974,5.862081741586136,2.6957311032934204
X Learner (Adaboost_MLP),1.690323267368203,2.6259572016448045,1.8528656083538795
