,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.23965816686291452,0.055614421035114,3.9125883267272226
S Learner (XGB),0.09086765240117012,0.31015077759066595,0.6690492445607867
S Learner (SVR),0.07462196801041632,0.1305368645651387,0.3776368827608344
S Learner (Bagging_SVR),0.025694397910570155,0.14810091764055364,0.4759199388986842
S Learner (Adaboost_SVR),0.012764225104515692,0.1719746841370995,0.5033301283358673
S Learner (Adaboost_MLP),0.13360150014208205,0.03730975209951961,0.11603333947916068
T Learner (LR),0.22808226419283573,0.027551801479624185,0.28228435376570205
T Learner (XGB),0.013133428583959272,1.2982504097192855,1.4387859222547739
T Learner (SVR),0.17915791277369553,0.24373089798768036,0.6539172695060768
T Learner (Bagging_SVR),0.05651198013498426,0.1784791701718956,0.4703614303434505
T Learner (Adaboost_SVR),0.04181167099414007,0.3038446446062273,0.7299119910667423
T Learner (Adaboost_MLP),0.13655147325799488,0.057065630085964235,0.14836032399936683
X Learner (LR),0.22808226419283617,0.027551801479624327,0.28228435376570205
X Learner (XGB),0.22048397665930008,0.5412369976845841,0.9774676555292701
X Learner (SVR),0.05704293159104168,0.14701020375353394,0.4223718816311298
X Learner (Bagging_SVR),0.026866608226428834,0.10711648463782562,0.3148212468952231
X Learner (Adaboost_SVR),0.1842805610353515,0.17882637100320797,0.4238265556801452
X Learner (Adaboost_MLP),0.06155425399835779,0.036340480223495446,0.11156216322841289
