,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),3.080067764535677,2.595682902479891,6.140451153709074
S Learner (XGB),1.42733658788472,3.4734969572028573,1.965838038274305
S Learner (SVR),1.6005278051784488,1.6623840959209868,1.9564758833817093
S Learner (Bagging_SVR),0.6401843601905455,0.8114131032316892,1.681789484417739
S Learner (Adaboost_SVR),2.1555208330878437,2.51845205589605,1.774610479156769
S Learner (Adaboost_MLP),2.0617397479279425,1.289766339697389,2.5036330432040956
T Learner (LR),1.7144215460529315,7.624129976897464,2.1689738304945463
T Learner (XGB),2.7767809164271164,37.131095438337965,2.4535127109489028
T Learner (SVR),1.6897658092891055,2.2246210639156048,2.0473184462781178
T Learner (Bagging_SVR),0.8653089651125929,2.014053542402511,1.8029355072919484
T Learner (Adaboost_SVR),1.966622236789302,3.488123830049537,1.9552840879070794
T Learner (Adaboost_MLP),2.139963464717137,3.3795149375083184,2.2327984600542488
X Learner (LR),1.7144215460529324,7.624129976897454,2.1689738304945463
X Learner (XGB),2.690684216578588,20.861888392588366,2.304989795715383
X Learner (SVR),2.0331622757396284,1.5359827144266673,1.9578515300368198
X Learner (Bagging_SVR),1.0151185122294235,0.6599418091533937,1.1582416779378095
X Learner (Adaboost_SVR),2.5176932413025805,2.6040092366395395,1.8960703996305328
X Learner (Adaboost_MLP),2.2726355812424712,2.758876003266572,2.1411999830922395
