,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),1.0211295877593,0.32212687456072386,6.033979362106042
S Learner (XGB),0.1167641776531202,1.3123130602950273,1.423655621605259
S Learner (SVR),1.470440187388454,1.1436035088438705,1.653279059080672
S Learner (Bagging_SVR),0.7458197067717802,0.6994680182202518,1.423322621125916
S Learner (Adaboost_SVR),1.0220047039622302,1.7445897354661124,1.7165546008288932
S Learner (Adaboost_MLP),2.0509439591676797,1.7417667935422836,2.1933432116798173
T Learner (LR),0.7367301761067286,3.1952525427621503,1.83875854835457
T Learner (XGB),0.8917687412311575,113.67886422983895,2.471601095983348
T Learner (SVR),1.0264864070643323,1.5100260554121834,1.6387095495089365
T Learner (Bagging_SVR),0.42956638772458366,1.9568146481102469,1.5499890362723738
T Learner (Adaboost_SVR),0.9896806466766865,3.546749960011313,1.9012680692085646
T Learner (Adaboost_MLP),1.2714879421697,1.9337502618785334,1.5848665934388968
X Learner (LR),0.7367301761067293,3.1952525427621494,1.83875854835457
X Learner (XGB),0.6869131362739631,57.3749403953185,2.4365525090510687
X Learner (SVR),1.8851118199204602,1.5589544746949944,1.9493401339176528
X Learner (Bagging_SVR),0.8374139580802192,0.9960351073870871,1.584091365067272
X Learner (Adaboost_SVR),0.17273764982271833,1.9816628891865418,1.5318737416224844
X Learner (Adaboost_MLP),1.0245070707140367,1.3711203044861966,1.4820028150474711
