,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),1.3072577301319392,0.4629643172476177,6.078399902346052
S Learner (XGB),0.4203570579420839,0.7853772427816768,1.4622756068253262
S Learner (SVR),1.1486966486031513,1.0966081458926076,1.547081134215454
S Learner (Bagging_SVR),1.1363545203934464,0.8566247787667802,1.6902837178245997
S Learner (Adaboost_SVR),0.5492231573298583,1.043661403879313,1.949979345009932
S Learner (Adaboost_MLP),0.4715369029727601,0.1537355171913628,1.0132811943445457
T Learner (LR),1.1796468066927726,1.8762516650273617,1.6340493557220213
T Learner (XGB),1.0332893169246988,6.791418032420995,2.238832087777689
T Learner (SVR),1.5248368980062508,1.7242288783396105,1.5566958324352564
T Learner (Bagging_SVR),1.6809606248943294,1.8234624554488306,1.5334142426701558
T Learner (Adaboost_SVR),1.131111880049402,2.034891020176415,1.6400216483272991
T Learner (Adaboost_MLP),0.8860472343979116,1.004994057634915,1.405369809323967
X Learner (LR),1.1796468066927712,1.8762516650273635,1.6340493557220213
X Learner (XGB),1.4620127109710364,3.6378654947282043,2.0331287545177745
X Learner (SVR),1.4484253645742586,1.0064131416559876,1.542333621484543
X Learner (Bagging_SVR),1.8697949462091197,1.4203321079841031,1.9328066180811474
X Learner (Adaboost_SVR),1.3600282720922223,1.3249370442571191,1.4012912099299635
X Learner (Adaboost_MLP),1.2260537970172694,1.332350740474798,1.5422125375909463
