,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.7641987040556655,0.18459651968485674,4.173298308772734
S Learner (XGB),0.01128466437422726,3.2277503866500012,1.3987451058608555
S Learner (SVR),1.5239919485378968,0.9262357547255706,1.5985086523337004
S Learner (Bagging_SVR),1.2984904675629672,0.9404066823930362,1.586602430387619
S Learner (Adaboost_SVR),0.8004990213462817,0.9459619508866248,1.3943252460223265
S Learner (Adaboost_MLP),1.0718949858591258,0.47478695108402635,1.5692349833723296
T Learner (LR),0.7132800196272167,0.33208731436513306,1.0427017889347416
T Learner (XGB),0.7728305404463718,29.327640240379534,2.381635806967077
T Learner (SVR),1.7990260421458548,1.3465566787602254,1.718792913776752
T Learner (Bagging_SVR),1.9071306510728059,1.411171240075741,1.6319873496337811
T Learner (Adaboost_SVR),0.6881473854135514,1.5914094450530991,1.6265330458378522
T Learner (Adaboost_MLP),1.0200703087131329,0.5700407592464554,1.5288319984905887
X Learner (LR),0.7132800196272153,0.33208731436513217,1.0427017889347416
X Learner (XGB),0.3476610689266848,12.800550220522172,2.2621107374370704
X Learner (SVR),1.7741317189777934,1.0864063738116072,1.7416334408063452
X Learner (Bagging_SVR),1.945283596846533,1.2350961827598046,1.8490188888129213
X Learner (Adaboost_SVR),0.32980749526029274,1.182502242281065,1.5023403532340789
X Learner (Adaboost_MLP),1.042330107807905,0.5463316564986579,1.4794758421270116
