,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.3793570985515202,0.0763794994496122,3.403990572275277
S Learner (XGB),0.1027894234302924,0.9320642962259075,1.576373068511965
S Learner (SVR),0.7383738970927483,0.5928361748433743,1.5333880786208391
S Learner (Bagging_SVR),0.6574580136813941,0.5410049210554206,1.5786473322593886
S Learner (Adaboost_SVR),0.25753981936179837,0.6088876172241857,1.1227980242936713
S Learner (Adaboost_MLP),0.4335274264945428,0.13929325138615353,0.7185699001809623
T Learner (LR),0.2772120058875307,0.22651996815265796,0.9033091908852385
T Learner (XGB),0.013294013277529326,5.151091092430927,1.9163588517292738
T Learner (SVR),0.6891440184797264,0.8996775489545951,1.3945955018624328
T Learner (Bagging_SVR),0.591053480164502,0.6480408957076952,1.41857075882275
T Learner (Adaboost_SVR),0.7091496525547547,1.0059815491144941,1.397016439191208
T Learner (Adaboost_MLP),0.3806713681016516,0.092544156552818,0.5739161990243034
X Learner (LR),0.2772120058875307,0.22651996815265815,0.9033091908852385
X Learner (XGB),0.05815657725578782,2.1632930310349745,1.7667657322215427
X Learner (SVR),0.6047587600104178,0.5796812658575693,1.4432481681878826
X Learner (Bagging_SVR),0.42111720442648926,0.4122634204896296,1.3356593352685955
X Learner (Adaboost_SVR),0.6978764697560271,0.7514070039639097,1.1607131747527084
X Learner (Adaboost_MLP),0.3670070703480639,0.09621196266439924,0.676569562716372
