,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.2035416219114079,0.05505600378361434,3.2906772418110184
S Learner (XGB),0.3262740606978082,0.3392866059706984,0.7310366067384183
S Learner (SVR),0.08130201932521763,0.19639257529774934,0.751554401585158
S Learner (Bagging_SVR),0.11622273101655367,0.21045137432239083,0.5210087901744533
S Learner (Adaboost_SVR),0.04642529750678215,0.26587561140863847,0.6135029856327395
S Learner (Adaboost_MLP),0.09534663130877497,0.07656551909183404,0.33220005164960725
T Learner (LR),0.16007878032012046,0.1441623169821423,0.5313785407702559
T Learner (XGB),0.025789305680686603,1.3479562523425443,1.4121860771208319
T Learner (SVR),0.09458546628397047,0.30472560299155715,0.6889248063461334
T Learner (Bagging_SVR),0.0761764948664918,0.3132897876144501,0.5722335232317113
T Learner (Adaboost_SVR),0.0041504259297455715,0.3710819966743177,0.7062267506370864
T Learner (Adaboost_MLP),0.11242945835049167,0.11940457317965897,0.4321394813105586
X Learner (LR),0.16007878032012024,0.1441623169821424,0.5313785407702559
X Learner (XGB),0.08326612378611564,0.5632846542238227,0.8729064488450775
X Learner (SVR),0.05928989768440207,0.1798578552292932,0.5219930805670787
X Learner (Bagging_SVR),0.07549368896763342,0.21514449660564552,0.5955141788380804
X Learner (Adaboost_SVR),0.0517099525128315,0.29883017113622246,0.707932215731373
X Learner (Adaboost_MLP),0.1321999766638411,0.11345019245009066,0.3722085917566023
