,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.3758585680590889,0.07707427468559913,3.781011914081675
S Learner (XGB),0.05287388047483543,0.04040862604795435,0.11796457555681353
S Learner (SVR),0.022583180034142725,0.012701064478614014,0.022143362219638817
S Learner (Bagging_SVR),0.014940202526418034,0.01282145466398766,0.010596172186900236
S Learner (Adaboost_SVR),0.0007870962279967753,0.018870370063665712,0.03980315536054767
S Learner (Adaboost_MLP),0.004774169458018673,0.010198191767593085,0.06239408261754638
T Learner (LR),0.35467238607727136,0.0331620492537112,0.2950097956066641
T Learner (XGB),0.038974150902551186,0.17607825291002505,0.3899238184134321
T Learner (SVR),0.03275362844578655,0.022997579076742426,0.03572391202559638
T Learner (Bagging_SVR),0.037766125254426575,0.025132144266021537,0.03341197648258996
T Learner (Adaboost_SVR),0.012194536381894938,0.039381621381489824,0.08716708808388432
T Learner (Adaboost_MLP),0.029135383311127416,0.01665824086216992,0.06386162761301024
X Learner (LR),0.35467238607727536,0.03316204925371204,0.2950097956066641
X Learner (XGB),0.02185476783994922,0.07403850488362662,0.14151432045623136
X Learner (SVR),0.02338525817407877,0.018484503847354623,0.026560731414769195
X Learner (Bagging_SVR),0.031823574551404166,0.020623294710458828,0.024050798769595465
X Learner (Adaboost_SVR),0.011289573856543167,0.028587302726365532,0.059733942610049204
X Learner (Adaboost_MLP),0.016036061933152768,0.01408222541341339,0.045790010087663514
