,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.39615613923631887,0.08129200294703567,3.766853531515782
S Learner (XGB),0.10509426285940493,0.09347341477514393,0.2547157045649784
S Learner (SVR),0.024213569226786857,0.06045944545279051,0.20168918124400945
S Learner (Bagging_SVR),0.047299742977076065,0.05837094114998298,0.20792432001917002
S Learner (Adaboost_SVR),0.06925691904361275,0.07519187003765943,0.21501287047539916
S Learner (Adaboost_MLP),0.07422233588106253,0.06400064597083352,0.2698430236588177
T Learner (LR),0.37582502648836913,0.038481289795975544,0.33001074678205067
T Learner (XGB),0.0725487034409773,0.6407341385975608,0.9236433561611017
T Learner (SVR),0.023069926062454504,0.09713422823403145,0.2611303887866538
T Learner (Bagging_SVR),0.06679411638651023,0.09868882593915355,0.29579910485416216
T Learner (Adaboost_SVR),0.07668976317702003,0.12216059111763139,0.3528895928041583
T Learner (Adaboost_MLP),0.005231390953284842,0.055162787746899186,0.22588670659983154
X Learner (LR),0.37582502648836735,0.03848128979597515,0.33001074678205067
X Learner (XGB),0.05026952117312078,0.30621027875435547,0.5289833102507985
X Learner (SVR),0.007480172483518288,0.08066992757809667,0.22318695839526204
X Learner (Bagging_SVR),0.05997304553822569,0.082153639834268,0.25421482161944703
X Learner (Adaboost_SVR),0.04585964196563652,0.08990709483371347,0.26084249114103325
X Learner (Adaboost_MLP),0.03912651445801418,0.05009189683391469,0.20503055477058657
