,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.5993419579078447,0.13196886485915552,4.410223296224845
S Learner (XGB),0.19933401022172448,2.898260296263859,1.6497314460685417
S Learner (SVR),0.46473282947552064,2.8831789854675978,1.5904955186141994
S Learner (Bagging_SVR),0.5287792117218311,2.8356339370893244,1.5962611803063846
S Learner (Adaboost_SVR),0.40933460839850233,1.9637157713257125,1.5896756397246665
S Learner (Adaboost_MLP),0.3441736266543014,1.4453909244917218,1.4816073196248751
T Learner (LR),0.5926926900817344,0.2590145200282098,0.7169324624548171
T Learner (XGB),0.4623862462536321,53.9550624950404,2.403077706208194
T Learner (SVR),0.5044011192810902,3.8408939888260036,1.7907378855890117
T Learner (Bagging_SVR),0.6150762301316586,4.591396400144198,1.8571311170865898
T Learner (Adaboost_SVR),0.4000638677950541,3.4128631080751495,1.803483110680901
T Learner (Adaboost_MLP),0.7031482943943963,1.827560711343689,1.7272996961056244
X Learner (LR),0.5926926900817344,0.25901452002820907,0.7169324624548171
X Learner (XGB),0.11342953145391133,23.996889313166967,2.275994882220544
X Learner (SVR),0.44825085735201253,3.0806536839633374,1.6574501946340767
X Learner (Bagging_SVR),0.5671232583409569,3.746262518021935,1.7628213160513906
X Learner (Adaboost_SVR),0.5808709942277368,2.3962091385339335,1.7213335689644198
X Learner (Adaboost_MLP),0.5168998817807213,1.573911681334534,1.619767239690768
